Country,n
Afghanistan,8
Albania,2
Algeria,2
Antigua and Barbuda,1
Argentina,33
Armenia,3
Australia,51
Austria,6
Bahamas,1
Bahrain,5
Bangladesh,21
Belarus,6
Belgium,11
Belize,3
"Bolivia, Plurinational State of",8
Bosnia and Herzegovina,2
Botswana,5
Brazil,255
Bulgaria,12
Burkina Faso,3
Burundi,3
Cambodia,4
Cameroon,9
Canada,92
Cayman Islands,2
Chile,18
China,19
Colombia,30
"Congo, the Democratic Republic of the",3
Costa Rica,15
Croatia,5
Cuba,10
Cyprus,1
Czech Republic,5
Denmark,10
Dominican Republic,5
Ecuador,19
Egypt,47
El Salvador,9
Estonia,2
Ethiopia,3
Fiji,15
Finland,4
France,32
Gabon,1
Gambia,1
Georgia,5
Germany,42
Ghana,40
Greece,19
Grenada,4
Guatemala,6
Guyana,6
Haiti,3
Honduras,5
Hong Kong,6
Hungary,3
India,276
Indonesia,20
"Iran, Islamic Republic of",5
Iraq,2
Ireland,9
Israel,3
Italy,32
Jamaica,2
Japan,17
Jordan,5
Kazakhstan,7
Kenya,71
"Korea, Republic of",1
Kuwait,1
Kyrgyzstan,4
Latvia,3
Lebanon,11
Lesotho,5
Liberia,12
Lithuania,3
Madagascar,3
Malawi,10
Malaysia,19
Mali,2
Malta,1
Mauritania,1
Mauritius,4
Mexico,109
"Moldova, Republic of",2
Mongolia,5
Morocco,8
Mozambique,3
Myanmar,1
Namibia,8
Nepal,14
Netherlands,12
New Zealand,5
Nicaragua,4
Nigeria,224
Norway,3
Oman,1
Pakistan,51
"Palestine, State of",3
Panama,7
Papua New Guinea,2
Paraguay,3
Peru,26
Philippines,55
Poland,10
Portugal,50
Puerto Rico,5
Qatar,5
Romania,13
Russian Federation,10
Rwanda,4
Saint Lucia,4
Saudi Arabia,3
Senegal,2
Serbia,9
Seychelles,2
Sierra Leone,8
Singapore,41
Slovakia,3
Slovenia,1
Solomon Islands,1
Somalia,9
South Africa,37
South Sudan,7
Spain,87
Sri Lanka,10
Sudan,4
Suriname,6
Swaziland,2
Sweden,11
Switzerland,10
Syrian Arab Republic,3
"Taiwan, Province of China",3
Tajikistan,1
"Tanzania, United Republic of",8
Thailand,8
Togo,3
Trinidad and Tobago,3
Tunisia,9
Turkey,21
Turkmenistan,1
Uganda,19
Ukraine,16
United Arab Emirates,11
United Kingdom,102
United States,835
Uruguay,8
"Venezuela, Bolivarian Republic of",17
Viet Nam,9
"Virgin Islands, U.S.",2
Yemen,10
Zambia,8
Zimbabwe,22
